Name,Ancelin2006,Rudolph2008,Carnahan2006,Ancelin2006,Ehrt2010,Sittironnarit2011,Bishara2020,ACBcalc,MajVote
acarbose,,,0,,,,,,0
acepromazine,,,,3,,,,,3
aceprometazine,,,,3,,,,,3
acetaminophen,,,0,,0,0,,,0
acetaminophen,,,0,,0,0,,,0
acetaminophen,,,0,,,,,,0
acetaminophen,,,0,,,,,,0
acetazolamide,,,0,,,,,,0
acetic acid-TOPICAL,,,0,,,,,,0
acetylcysteine,,,,,,0,,,0
acetylsalicylic,,,,,0,,,,0
acitratin,,,,,,0,,,0
acyclovir,,,0,,,,,,0
adenosine,,,0,,,,,,0
albuterol,,,0,,,,,,0
alendronate,,,0,,,,,,0
alimemazine,1,,,2,0,,3,1,1
allopurinol,,,0,,0,0,,,0
alprazolam,1,,1,3,,1,0,1,1
aluminium,,,,,,0,,,0
aluminum,,,0,,,,,,0
alverine,1,,,2,,,,1,1
amantadine,2,2,1,,,,2,2,2
amiloride,,,0,,,0,,,0
amiodarone,,,0,,,0,1,,0
amitriptyline,3,3,3,3,4,3,,3,3
amlodipine,,,0,,0,0,0,,0
ammonium-TOPICAL,,,0,,,,,,0
amoxapine,3,,,3,,,,3,3
amoxicillin,,,0,,,0,,,0
ampicillin,,,1,,,,,1,1
anagrelide,,,0,,,,,,0
anastrozole,,,0,,,0,,,0
anileridine,,,0,,,,,,0
antioxidant,,,,,,0,,,0
apraclonidine-OPHTHALMIC,,,0,,,,,,0
aripiprazole,1,,,,,0,1,1,1
ascorbic acid,,,0,,,,,,0
asenapine,1,,,,,,,1,1
aspirin,,,0,,,0,0,,0
atenolol,1,,0,,0,0,0,1,0
atorvastatin,,,0,,0,0,0,,0
atropine,3,3,3,,,3,,3,3
azathioprine,,,1,,,,,,1
azithromycin,,,0,,,,,,0
bacitracin-OPHTHALMIC,,,0,,,,,,0
bacitracin-TOPICAL,,,0,,,,,,0
baclofen,,2,0,,,,,1,2
balsam peru-TOPICAL,,,0,,,,,,0
beclomethasone,,,,,,0,,,0
beclomethasone-NASAL,,,0,,,,,,0
beclomethasone-NOT(NASAL),,,0,,,,,,0
belladonna,2,,,3,,,,2,2
benazepril,,,0,,,,,1,0
benefiber,,,,,,0,,,0
benzocaine-TOPICAL,,,0,,,,,,0
benzonatate,,,0,,,,,,0
benztropine,3,3,3,,4,,,3,3
beta carotene,,,0,,,,,,0
betahistine,,,,,,0,,,0
betaine,,,,,,0,,,0
betamenthasone,,,,,,0,,,0
betamethasone,,,,,,0,,,0
betamethasone-TOPICAL,,,0,,,,,,0
betaxolol,,,,,,0,,1,0
betaxolol-OPHTHALMIC,,,0,,,,,,0
bethanechol,,,0,,,,,,0
bicalutamide,,,0,,,,,,0
bimatoprost,,,,,,0,,,0
